Name,State,Constituency,Party,Gender,Education,Age,Participation in Debates,Private Member's Bills,Questions asked,Attendance,Notes
V.K. Sreekandan,Kerala,Palakkad,Indian National Congress,Male,Graduate,53,63,9,294,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Vasava Parbhubhai Nagarbhai,Gujarat,Bardoli,Bharatiya Janata Party,Male,Diploma Course,53,22,0,99,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ve. Vaithilingam,Puducherry,Puducherry,Indian National Congress,Male,Information Not Available,73,28,0,63,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Veena Devi,Bihar,Vaishali,Lok Jan Shakti Party,Female,Matric,56,24,0,109,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Venkatesh Netha Borlakunta,Telangana,Peddapalle,Bharat Rashtra Samithi,Male,Doctorate,47,5,0,240,0.61,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Vijay Baghel,Chhattisgarh,Durg,Bharatiya Janata Party,Male,Graduate,64,27,0,277,0.86,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Vijay Kumar,Bihar,Gaya,Janata Dal (United),Male,Inter/ Higher Secondary,38,20,0,142,0.84,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Vijay Kumar Dubey,Uttar Pradesh,Kushi Nagar,Bharatiya Janata Party,Male,Information Not Available,63,21,0,216,0.78,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Vijay Kumar Hansdak,Jharkhand,Rajmahal,Jharkhand Mukti Morcha,Male,Under Matric,41,15,0,27,0.65,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Vijayakumar alias Vijay Vasanth,Tamil Nadu,Kanniyakumari,Indian National Congress,Male,Information Not Available,,21,0,194,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Vinayak Bhaurao Raut,Maharashtra,Ratnagiri-Sindhudurg,Shiv Sena,Male,Post Graduate,69,108,2,469,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Vincent H Pala,Meghalaya,Shillong,Indian National Congress,Male,Professional Graduate,56,17,2,235,0.79,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Vinod Kumar Sonkar,Uttar Pradesh,Kaushambi,Bharatiya Janata Party,Male,Graduate,53,51,3,573,0.76,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Virendra Singh,Uttar Pradesh,Ballia,Bharatiya Janata Party,Male,Graduate,67,27,0,0,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Vishnu Dayal Ram,Jharkhand,Palamu,Bharatiya Janata Party,Male,Graduate,72,79,7,317,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Vishnu Dutt Sharma,Madhya Pradesh,Khajuraho,Bharatiya Janata Party,Male,Information Not Available,53,16,0,217,0.6,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Vivek Narayan Shejwalkar,Madhya Pradesh,Gwalior,Bharatiya Janata Party,Male,Information Not Available,76,48,0,183,0.97,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Y. Devendrappa,Karnataka,Bellary,Bharatiya Janata Party,Male,Under Matric,72,10,0,120,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Y.S. Avinash Reddy,Andhra Pradesh,Kadapa,Yuvajana Sramika Rythu Congress Party,Male,Professional Post Graduat,39,1,0,365,0.42,Data corresponds to the period from 01-06-2019 to 10-02-2024.
