Name,State,Constituency,Party,Gender,Education,Age,Participation in Debates,Private Member's Bills,Questions asked,Attendance,Notes
Rathod Dipsinh Shankarsinh,Gujarat,Sabarkantha,Bharatiya Janata Party,Male,Under Matric,71,9,0,243,0.94,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rathva Gitaben Vajesingbhai,Gujarat,Chhota Udaipur,Bharatiya Janata Party,Female,Inter/ Higher Secondary,51,29,0,190,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ravindra Kushawaha,Uttar Pradesh,Salempur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,61,52,0,425,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ravindra Shyamnarayan,Uttar Pradesh,Gorakhpur,Bharatiya Janata Party,Male,Graduate,54,81,10,480,0.68,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ravneet Singh,Punjab,Ludhiana,Indian National Congress,Male,Graduate,48,56,5,367,0.9,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rebati Tripura,Tripura,Tripura East,Bharatiya Janata Party,Male,Information Not Available,47,13,0,235,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rekha Verma,Uttar Pradesh,Dhaurahra,Bharatiya Janata Party,Female,Inter/ Higher Secondary,50,61,0,92,0.83,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rita Bahuguna Joshi,Uttar Pradesh,Allahabad,Bharatiya Janata Party,Female,Information Not Available,74,28,0,310,0.76,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ritesh Pandey,Uttar Pradesh,Ambedkar Nagar,Bahujan Samaj Party,Male,Graduate,42,137,4,235,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Riti Pathak,Madhya Pradesh,Sidhi,Bharatiya Janata Party,Female,Post Graduate,46,60,4,278,0.97,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rodmal Nagar,Madhya Pradesh,Rajgarh,Bharatiya Janata Party,Male,Graduate,63,29,0,209,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
S. Gnanathiraviam,Tamil Nadu,Tirunelveli,Dravida Munnetra Kazhagam,Male,Information Not Available,59,25,0,251,0.64,Data corresponds to the period from 01-06-2019 to 10-02-2024.
S. Jagathrakshakan,Tamil Nadu,Arakkonam,Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,76,18,0,272,0.36,Data corresponds to the period from 01-06-2019 to 10-02-2024.
S. Jothimani,Tamil Nadu,Karur,Indian National Congress,Female,Post Graduate,48,42,2,201,0.74,Data corresponds to the period from 01-06-2019 to 10-02-2024.
S. Muniswamy,Karnataka,Kolar,Bharatiya Janata Party,Male,Graduate,48,24,0,252,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
S. Ramalingam,Tamil Nadu,Mayiladuthurai,Dravida Munnetra Kazhagam,Male,Information Not Available,80,16,0,148,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
S. Venkatesan,Tamil Nadu,Madurai,Communist Party of India (Marxist),Male,Information Not Available,53,33,0,256,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
S.R. Parthiban,Tamil Nadu,Salem,Dravida Munnetra Kazhagam,Male,Information Not Available,54,42,0,286,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
S.S. Ahluwalia,West Bengal,Bardhaman-Durgapur,Bharatiya Janata Party,Male,Professional Graduate,72,12,0,0,0.77,Data corresponds to the period from 01-06-2019 to 10-02-2024.
S.S. Palanimanickam,Tamil Nadu,Thanjavur,Dravida Munnetra Kazhagam,Male,Professional Graduate,73,7,0,0,0.51,Data corresponds to the period from 01-06-2019 to 10-02-2024.
S.T. Hasan,Uttar Pradesh,Moradabad,Samajwadi Party,Male,Information Not Available,65,55,0,13,0.86,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sadashiv Kisan Lokhande,Maharashtra,Shirdi,Shiv Sena,Male,Inter/ Higher Secondary,61,7,0,181,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sadhvi Pragya Singh Thakur,Madhya Pradesh,Bhopal,Bharatiya Janata Party,Female,Information Not Available,54,19,0,36,0.66,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sajda Ahmed,West Bengal,Uluberia,All India Trinamool Congress,Female,Graduate,61,11,0,184,0.58,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sambhajirao Mane Dhairyasheel,Maharashtra,Hatkanangle,Shiv Sena,Male,Graduate,43,30,3,517,0.77,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sandhya Ray,Madhya Pradesh,Bhind,Bharatiya Janata Party,Female,Information Not Available,50,24,0,139,0.94,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sangam Lal Gupta,Uttar Pradesh,Pratapgarh,Bharatiya Janata Party,Male,Information Not Available,52,52,0,384,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sangeeta Azad,Uttar Pradesh,Lalganj,Bahujan Samaj Party,Female,Information Not Available,42,67,0,93,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sangeeta Kumari Singh Deo,Odisha,Bolangir,Bharatiya Janata Party,Female,Graduate,62,49,1,502,0.92,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sanghamitra Maurya,Uttar Pradesh,Badaun,Bharatiya Janata Party,Female,Information Not Available,39,57,0,86,0.98,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sanjay (Bandu) Haribhau Jadhav,Maharashtra,Parbhani,Shiv Sena,Male,Matric,56,12,0,346,0.49,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sanjay Bhatia,Haryana,Karnal,Bharatiya Janata Party,Male,Graduate,56,15,3,194,0.8,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sanjay Jaiswal,Bihar,Paschim Champaran,Bharatiya Janata Party,Male,Professional Post Graduat,58,94,9,195,0.78,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sanjay Kumar Bandi,Telangana,Karimnagar,Bharatiya Janata Party,Male,Post Graduate,52,6,0,57,0.74,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sanjay Sadashivrao Mandlik,Maharashtra,Kolhapur,Shiv Sena,Male,Information Not Available,59,6,0,605,0.63,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sanjay Seth,Jharkhand,Ranchi,Bharatiya Janata Party,Male,Information not available,64,77,0,211,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sanjaykaka Patil,Maharashtra,Sangli,Bharatiya Janata Party,Male,Inter/ Higher Secondary,59,9,0,302,0.48,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sanjeev Kumar Ayushman,Andhra Pradesh,Kurnool,Yuvajana Sramika Rythu Congress Party,Male,Doctorate,57,19,6,243,0.68,Data corresponds to the period from 01-06-2019 to 10-02-2024.
